id,name,url,match_logs,logs
eec9563b,Tang Miao,https://fbref.com/en/players/eec9563b/Tang-Miao,https://fbref.com/en/players/eec9563b/matchlogs/2021-2022/summary/Tang-Miao-Match-Logs,"{'2015': '2015', '2016': '2016', '2017': '2017', '2018': '2018', '2019': '2019', '2020': '2020', '2021': '2021', 'National Team': 'nat_tm'}"
9fc0f253,Matt Miazga,https://fbref.com/en/players/9fc0f253/Matt-Miazga,https://fbref.com/en/players/9fc0f253/matchlogs/2021-2022/summary/Matt-Miazga-Match-Logs,"{'2013': '2013', '2014': '2014', '2015': '2015', '2015-2016': '2015-2016', '2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022', 'National Team': 'nat_tm'}"
6ab58a9b,Alessandro Micai,https://fbref.com/en/players/6ab58a9b/Alessandro-Micai,https://fbref.com/en/players/6ab58a9b/matchlogs/2021-2022/summary/Alessandro-Micai-Match-Logs,"{'2014-2015': '2014-2015', '2015-2016': '2015-2016', '2016-2017': '2016-2017', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2021-2022': '2021-2022'}"
ad3edb36,Karl Micallef,https://fbref.com/en/players/ad3edb36/Karl-Micallef,https://fbref.com/en/players/ad3edb36/matchlogs/2021-2022/summary/Karl-Micallef-Match-Logs,{'National Team': 'nat_tm'}
b5d40e5a,Roxanne Micallef,https://fbref.com/en/players/b5d40e5a/Roxanne-Micallef,https://fbref.com/en/players/b5d40e5a/matchlogs/2021-2022/summary/Roxanne-Micallef-Match-Logs,{'National Team': 'nat_tm'}
3a8b9635,Alessio Miceli,https://fbref.com/en/players/3a8b9635/Alessio-Miceli,https://fbref.com/en/players/3a8b9635/matchlogs/2021-2022/summary/Alessio-Miceli-Match-Logs,"{'2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2021-2022': '2021-2022'}"
c00f9c93,Mirko Miceli,https://fbref.com/en/players/c00f9c93/Mirko-Miceli,https://fbref.com/en/players/c00f9c93/matchlogs/2021-2022/summary/Mirko-Miceli-Match-Logs,"{'2014-2015': '2014-2015', '2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022'}"
95c772dd,Nemanja Micevic,https://fbref.com/en/players/95c772dd/Nemanja-Micevic,https://fbref.com/en/players/95c772dd/matchlogs/2021-2022/summary/Nemanja-Micevic-Match-Logs,"{'2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022', 'National Team': 'nat_tm'}"
4a2445fe,Gadiel Michael,https://fbref.com/en/players/4a2445fe/Gadiel-Michael,https://fbref.com/en/players/4a2445fe/matchlogs/2021-2022/summary/Gadiel-Michael-Match-Logs,{'National Team': 'nat_tm'}
e63e122d,Kingsley Michael,https://fbref.com/en/players/e63e122d/Kingsley-Michael,https://fbref.com/en/players/e63e122d/matchlogs/2021-2022/summary/Kingsley-Michael-Match-Logs,"{'2017-2018': '2017-2018', '2018-2019': '2018-2019', '2019-2020': '2019-2020', '2020-2021': '2020-2021', '2021-2022': '2021-2022', 'National Team': 'nat_tm'}"
